SKU,ProductName,Category,Material,Color,Capacity,Shape,Cap_Color,Cap_Type,Applicator,Full_Description,Target_URL,Training_Context,Source_File
GBBstnAmb2ozMtlRollonMattSl,Clear Round bottle (60ml),Bottle,Glass,Clear,60ml,Round,White,Cap,None,"Wholesale supplier and distributor of ",,A Clear Round Glass bottle with a capacity of 60ml. It features a White Cap and no specific applicator. SKU: GBBstnAmb2ozMtlRollonMattSl.,01-BB_ 20-400 Collection - 20-400.csv
1. Circle Clear 30ml,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 1. Circle Clear 30ml.,15-415 ITEMCODE - 15-415.csv
2. Circle Frosted 30ml,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2. Circle Frosted 30ml.,15-415 ITEMCODE - 15-415.csv
3. Elegant Clear 30ml,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3. Elegant Clear 30ml.,15-415 ITEMCODE - 15-415.csv
4. Elegant Frosted 30ml,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 4. Elegant Frosted 30ml.,15-415 ITEMCODE - 15-415.csv
2032,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2032.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2033,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2033.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2034,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2034.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2035,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2035.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2036,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2036.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2037,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2037.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2038,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2038.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2039,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2039.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2040,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2040.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2041,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2041.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2042,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2042.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2043,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2043.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2044,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2044.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2045,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2045.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2046,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2046.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2047,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2047.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3492,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3492.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2048,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2048.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2049,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2049.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2050,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2050.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2051,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2051.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2052,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2052.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2053,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2053.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2054,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2054.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2055,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2055.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2056,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2056.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2057,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2057.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
