SKU,Description,Image_URL,Included_Component,Material,Color,Use_Cases,Tags,Item_Type,Capacity,Height_With_Cap,Height_Without_Cap,Width,Depth,Neck_Finish,Price_1pc,Price_12pc,Price_144pc,Best_Bulk_Price,Min_Order_Qty,Main_Category,Sub_Category,Product_URL
GBHeartFrst4KeyGld,"Heart design 4 ml, Frosted glass bottle with gold key chain. For use with perfume or fragrance oil, essential oil. Great for Valentines, gifts, promotions, and wedding and party favors.",https://www.bestbottles.com/images/store/enlarged_pics/GBHeartFrst4KeyGld.gif,,Frosted glass,Frosted,"essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil","frosted glass, frosted, essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil, decorative perfume bottles with keychain caps, 4ml",Decorative perfume bottles with Keychain Caps,4 ml (0.14 oz),53 ±1 mm,46 ±0.5 mm,32 ±0.5 mm,12 ±0.5 mm,8mm,$2.80,,$2.66,2500pc @ $2.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Frosted-glass-small-heart-shaped-bottle-with-gold-key-chain
GBHeartFrst4TslRed,"Heart design 4 ml, Frosted glass bottle with red tassel. For use with perfume or fragrance oil, essential oil. Great for Valentines, gifts, promotions, and wedding and party favors.",https://www.bestbottles.com/images/store/enlarged_pics/GBHeartFrst4TslRed.gif,,Frosted glass,Frosted,"essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil","frosted glass, frosted, essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil, decorative perfume bottles with keychain caps, 4ml",Decorative perfume bottles with Keychain Caps,4 ml (0.14 oz),53 ±1 mm,46 ±0.5 mm,32 ±0.5 mm,12 ±0.5 mm,8mm,$2.66,,$2.52,2500pc @ $2.18,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Frosted-glass-small-heart-shaped-bottle-with-red-tassel
GB3TPlGl,"Octagonal style 3 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB3TPlGl.gif,shiny gold cap,glass,gold,"aromatic oil, attar, fragrance, perfume","glass, gold, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 3ml","Traditional octagonal shaped bottles, plain and printed",3 ml (0.1 oz),53 ±1 mm,42 ±0.5 mm,18 ±0.5 mm,,14.3mm,$0.42,,$0.40,4800pc @ $0.34,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-3-ml-glass-bottle-shiny-gold-cap-red-bead
GB3TPlSl,"Octagonal style 3 ml glass bottle with shiny silver cap and blue bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB3TPlSl.gif,shiny silver cap,glass,silver,"aromatic oil, attar, fragrance, perfume","glass, silver, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 3ml","Traditional octagonal shaped bottles, plain and printed",3 ml (0.1 oz),53 ±1 mm,42 ±0.5 mm,18 ±0.5 mm,,14.3mm,$0.42,,$0.40,4800pc @ $0.34,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-3-ml-glass-bottle-shiny-silver-cap-blue-bead
GB6TPlGl,"Octagonal style 6 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB6TPlGl.gif,shiny gold cap,glass,gold,"aromatic oil, attar, fragrance, perfume","glass, gold, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 6ml","Traditional octagonal shaped bottles, plain and printed",6 ml (0.2 oz),59 ±1 mm,48 ±0.5 mm,,,14.3mm,$0.52,,$0.50,3600pc @ $0.43,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-6-ml-glass-bottle-shiny-gold-cap-red-bead
GB6TPlSl,"Octagonal style 6 ml glass bottle with shiny silver cap and blue bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB6TPlSl.gif,shiny silver cap,glass,silver,"aromatic oil, attar, fragrance, perfume","glass, silver, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 6ml","Traditional octagonal shaped bottles, plain and printed",6 ml (0.2 oz),59 ±1 mm,48 ±0.5 mm,,,14.3mm,$0.52,,$0.50,3600pc @ $0.43,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-6-ml-glass-bottle-shiny-silver-cap-blue-bead
GBSQSTBlue,Blue glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTBlue.gif,glass stopper. Cap,glass,Blue,,"glass, blue, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Blue-glass-stopper
GBSQSTClear,Clear glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTClear.gif,glass stopper. Cap,Clear glass,Clear,,"clear glass, clear, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Clear-glass-stopper
GBSQSTGREEN,Green glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTGREEN.gif,glass stopper. Cap,glass,Green,,"glass, green, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Green-glass-stopper
GBTrdpBlue,Blue glass teardrop shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBTrdpBlue.gif,glass stopper. Cap,glass,Blue,,"glass, blue, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),68 ±1 mm,43 ±0.5 mm,31 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Teardrop-Blue-glass-stopper
