sku,description,image_url,included_component,item_type,capacity,height_total,height_bottle_only,width,depth,neck_finish,price_1pc,price_12pc,price_144pc,price_bulk,url
,,,,,,,,,,,,,,,https://www.bestbottles.com/product/
Alu500,"Cylinder shaped, aluminum 500 ml bottle with white plug and tear off cap. For use with perfume oil, aromatic oils, fragrance oils and attars.",https://www.bestbottles.com/images/store/enlarged_pics/Alu500.gif,white plug and tear off cap,Aluminum Bottles and Cans,500 ml (16.91 oz),186 ±2 mm,178 ±2 mm,,,20-410,3.65,3.47,3.29,480pc: $2.85,https://www.bestbottles.com/product/Aluminum-Bottle-Can-white-cap-500ml
Alu100mlSprayBlack,"Cylinder shaped, matte aluminum 100 ml bottle with black sprayer. For use with cologne, perfume, air freshner, face and body spray, or room spray.",https://www.bestbottles.com/images/store/enlarged_pics/Alu100mlSprayBlack.gif,black spray,Alluminum Bottles With Fine Mist Sprayers,100 ml (3.38 oz),150 ±2 mm,,,,20-410,1.25,1.19,1.13,2000pc: $0.98,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer
Alu250mlSprayBlack,"Cylinder shaped, matte aluminum 250 ml bottle with black sprayer. For use with cologne, perfume, air freshner, face and body spray, or room spray.",https://www.bestbottles.com/images/store/caps/24-410Sp250Blk.png,black spray,Alluminum Bottles With Fine Mist Sprayers,250 ml (8.45 oz),178 ±2 mm,155 ±2 mm,,,20-410,1.50,1.43,1.35,2000pc: $1.17,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer
PB10SpryNat,Plastic Bottle with Clear Spray Top and Clear Cap. Capacity: 10ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/PB10SpryNat.gif,Clear Spray Top and Clear Cap,Plastic Bottles With Fine Mist Sprayers,10 ml (0.34 oz),,,,,,0.60,0.57,0.54,3000pc: $0.47,https://www.bestbottles.com/product/Plastic-Bottle-Clear-Natural-sprayer-10ml
PB1ozSpryNat,Plastic Bottle with Clear Spray Top and Clear Cap. Capacity: 1oz (28ml).,https://www.bestbottles.com/images/store/enlarged_pics/PB1ozSpryNat.gif,Clear Spray Top and Clear Cap,Plastic Bottles With Fine Mist Sprayers,30 ml (1.01 oz),82 ±1 mm Neck Thread Size: 13-415,,,,13-415,0.65,0.62,0.59,2100pc: $0.51,https://www.bestbottles.com/product/Plastic-Bottle-container-Clear-Natural-sprayer-1oz
PB1ozClearcap,Clear Plastic Bottle With Clear Screw on Cap.Capacity: 1oz (30ml),https://www.bestbottles.com/images/store/enlarged_pics/PB1ozClearcap.gif,Clear Screw on Cap,Plastic Bottles With Fine Mist Sprayers,30 ml (1.01 oz),85 ±1 mm,68 ±1 mm,28 ±0.5 mm Neck Thread Size: 13-415,,13-415,0.55,0.52,0.50,3400pc: $0.43,https://www.bestbottles.com/product/Plastic-bottle-container-clear-Clear-cap-1oz
PB1ozSprySl,Plastic Bottle with Silver Spray Top and Clear Cap. Capacity: 1oz (30ml).,https://www.bestbottles.com/images/store/enlarged_pics/PB1ozSprySl.gif,Silver Spray Top and Clear Cap,Plastic Bottles With Fine Mist Sprayers,30 ml (1.01 oz) Neck Thread Size: 13-415,,,,,13-415,0.65,0.62,0.59,2800pc: $0.51,https://www.bestbottles.com/product/Plastic-bottle-container-clear-Silver-sprayer-1oz
GBSpry3mlClBlk,3.3ml Clear Glass Bottle with Black Spray Pump and Clear Cap. Good for use as a sample.,https://www.bestbottles.com/images/store/caps/CP-Spry3mlBlk.png,Black Spray Pump and Clear Cap,Refillable Glass Bottles with Fine Mist Sprayers,3 ml (0.1 oz),54 ±1 mm,37 ±0.5 mm,,,12mm,0.37,,,5000pc: $0.29,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-3ml
GBSpry3mlClBlk,3.3ml Clear Glass Bottle with Black Spray Pump and Clear Cap. Good for use as a sample.,https://www.bestbottles.com/images/store/caps/CP-Spry3mlBlk.png,Black Spray Pump and Clear Cap,Refillable Glass Bottles with Fine Mist Sprayers,3 ml (0.1 oz),54 ±1 mm,37 ±0.5 mm,,,12mm,0.37,,,5000pc: $0.29,https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-3ml?video=true
