SKU,Product Name,Base Color,Cap/Roller Component,Source GIF (Before),Enhanced Result (After),Variations,Updated At
GBCylSwrl9MtlRollPnkDot,"Swirl Pattern Glass with Metal Roller Ball and Pink Dot",clear with swirl,"metal roll with pink dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylSwrl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylSwrl9MtlRollPnkDot.png,"",2026-01-02T03:21:25.841793+00:00
GBCylSwrl9MtlRollBlkDot,"Swirl Pattern Glass with Metal Roller Ball and Black Dot",clear with swirl,"metal roll with black dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylSwrl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylSwrl9MtlRollBlkDot.png,"",2026-01-02T03:20:53.863248+00:00
GBCylFrst9RollSlDot,"Frosted Glass with Plastic Roller Ball and Silver Dot",frosted,"plastic roll with silver dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollSlDot.png,"",2026-01-02T03:20:28.187144+00:00
GBCylFrst9RollShBlk,"Frosted Glass with Plastic Roller Ball and Black Shiny",frosted,"plastic roll with black shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollShBlk.png,"",2026-01-02T03:20:09.254371+00:00
GBCylFrst9RollShnGl,"Frosted Glass with Plastic Roller Ball and Gold Shiny",frosted,"plastic roll with gold shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollShnGl.png,"",2026-01-02T03:19:50.806185+00:00
GBCylFrst9RollPnkDot,"Frosted Glass with Plastic Roller Ball and Pink Dot",frosted,"plastic roll with pink dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollPnkDot.png,"",2026-01-02T03:19:32.676069+00:00
GBCylFrst9RollWht,"Frosted Glass with Plastic Roller Ball and White",frosted,"plastic roll with white cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollWht.png,"",2026-01-02T03:19:14.270437+00:00
GBCylFrst9RollMattSl,"Frosted Glass with Plastic Roller Ball and Silver Matte",frosted,"plastic roll with silver matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollMattSl.png,"",2026-01-02T03:18:50.292991+00:00
GBCylFrst9RollMattGl,"Frosted Glass with Plastic Roller Ball and Gold Matte",frosted,"plastic roll with gold matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollMattGl.png,"",2026-01-02T03:18:32.62053+00:00
GBCylFrst9RollBlkDot,"Frosted Glass with Plastic Roller Ball and Black Dot",frosted,"plastic roll with black dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9RollBlkDot.png,"",2026-01-02T03:18:09.524102+00:00
GBCylFrst9MtlRollMattCu,"Frosted Glass with Metal Roller Ball and Copper Matte",frosted,"metal roll with copper matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9MtlRollMattCu.png,"",2026-01-02T03:17:50.428507+00:00
