SKU_Name,SKU,Price_Tier1,Description,Status
GBBstnAmb2ozMtlRollonMattSl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb2ozMtlRollonShnSl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb2ozMtlRollonMattBlk,,,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb2ozMtlRollonGl,GBBstnAmb2ozMtlRollonGl,$1.05,"Boston round design 60ml, 2oz Amber glass bottle with metal roller ball plug and shiny gold cap. For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments. Refillable bottle with large, 12mm diameter metal-roller ball. Pri",Found
GBBstnAmb2ozMtlRollonMattGl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb2ozRollonMattSl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb2ozRollonShnSl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb2ozRollonMattBlk,,,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb2ozRollonGl,GBBstnAmb2ozRollonGl,$0.90,"Boston round design 60ml, 2oz Amber glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments. Refillable bottle with large, 12mm diameter roller ball.",Found
GBBstnAmb2ozRollonMattGl,,,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnAmb2ozWhtDropper,,,"Boston rounddesign60ml,2oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozBlkDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozWhtDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozWhtDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozBlkDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozBlkDropper,,,"Boston rounddesign60ml,2oz Amber glass bottlewithblack dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnAmb2ozBlkCapSht,GBBstnAmb2ozBlkCapSht,$0.48,"Boston round design 60ml, 2oz Amber glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnBlu2ozMtlRollonMattSl,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu2ozMtlRollonShnSl,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu2ozMtlRollonMattBlk,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnBlu2ozMtlRollonGl,GBBstnBlu2ozMtlRollonGl,$1.05,"Boston round design 60ml, 2oz Cobalt blue glass bottle with metal roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter metal-roller ball. Pr",Found
GBBstnBlu2ozMtlRollonMattGl,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
