SKU_Name,Family_Name,Bottle_Shape,Capacity_OZ,Description
GBBstnAmb2ozMtlRollonMattSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonShnSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonMattBlk,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonMattGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozRollonMattSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonShnSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonMattBlk,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonMattGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozWhtDropper,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb2ozBlkDropperShnSlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
