Original_SKU,Cleaned_SKU,Is_SKU_Modified,Match_Found_In_Scrape,ODS_Inventory_ID,ODS_Price,Scrape_Price,ODS_Capacity_OZ,ODS_Capacity_ML,Scrape_Capacity,ODS_Description,Scrape_Description,Price_Diff,Price_Match
GBBstnAmb2ozMtlRollonMattSl,GBBstnAmb2ozMtlRollonMattSl,False,False,3389.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb2ozMtlRollonShnSl,GBBstnAmb2ozMtlRollonShnSl,False,False,3390.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb2ozMtlRollonMattBlk,GBBstnAmb2ozMtlRollonMattBlk,False,False,3387.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb2ozMtlRollonGl,GBBstnAmb2ozMtlRollonGl,False,True,3386.0,,$1.05,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each","Boston round design 60ml, 2oz Amber glass bottle with metal roller ball plug and shiny gold cap. For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments. Refillable bottle with large, 12mm diameter metal-roller ball. Pri",,False
GBBstnAmb2ozMtlRollonMattGl,GBBstnAmb2ozMtlRollonMattGl,False,False,3388.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb2ozRollonMattSl,GBBstnAmb2ozRollonMattSl,False,False,3393.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb2ozRollonShnSl,GBBstnAmb2ozRollonShnSl,False,False,3394.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb2ozRollonMattBlk,GBBstnAmb2ozRollonMattBlk,False,False,3392.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb2ozRollonGl,GBBstnAmb2ozRollonGl,False,True,3391.0,,$0.90,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each","Boston round design 60ml, 2oz Amber glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments. Refillable bottle with large, 12mm diameter roller ball.",,False
GBBstnAmb2ozRollonMattGl,GBBstnAmb2ozRollonMattGl,False,False,3187.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb2ozWhtDropper,GBBstnAmb2ozWhtDropper,False,False,3188.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozBlkDropperShnSlTrim,GBBstnAmb2ozBlkDropperShnSlTrim,False,False,3186.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozWhtDropperShnGlTrim,GBBstnAmb2ozWhtDropperShnGlTrim,False,False,3189.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozWhtDropperShnSlTrim,GBBstnAmb2ozWhtDropperShnSlTrim,False,False,3190.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozBlkDropperShnGlTrim,GBBstnAmb2ozBlkDropperShnGlTrim,False,False,3185.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozBlkDropper,GBBstnAmb2ozBlkDropper,False,False,3186.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Amber glass bottlewithblack dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnAmb2ozBlkCapSht,GBBstnAmb2ozBlkCapSht,False,True,3183.0,,$0.48,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Amber glass bottlewithshort black cap.For use with Perfume oils, essential oils, diffuser oils and aromatherapy.Price each","Boston round design 60ml, 2oz Amber glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",,False
GBBstnBlu2ozMtlRollonMattSl,GBBstnBlu2ozMtlRollonMattSl,False,False,3403.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnBlu2ozMtlRollonShnSl,GBBstnBlu2ozMtlRollonShnSl,False,False,3404.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnBlu2ozMtlRollonMattBlk,GBBstnBlu2ozMtlRollonMattBlk,False,False,3401.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnBlu2ozMtlRollonGl,GBBstnBlu2ozMtlRollonGl,False,True,3400.0,,$1.05,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each","Boston round design 60ml, 2oz Cobalt blue glass bottle with metal roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter metal-roller ball. Pr",,False
GBBstnBlu2ozMtlRollonMattGl,GBBstnBlu2ozMtlRollonMattGl,False,False,3402.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnBlu2ozRollonMattSl,GBBstnBlu2ozRollonMattSl,False,False,3407.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnBlu2ozRollonShnSl,GBBstnBlu2ozRollonShnSl,False,False,3408.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnBlu2ozRollonMattBlk,GBBstnBlu2ozRollonMattBlk,False,False,3406.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnBlu2ozRollonGl,GBBstnBlu2ozRollonGl,False,True,3405.0,,$0.90,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy oils.Refillable bottle with large, 12mm diameter roller ball.Price each","Boston round design 60ml, 2oz Cobalt blue glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. . oils. Refillable bottle with large, 12mm diameter roller ba",,False
GBBstnBlu2ozRollonMattGl,GBBstnBlu2ozRollonMattGl,False,False,3202.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy oils.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnBlu2ozWhtDropper,GBBstnBlu2ozWhtDropper,False,False,3203.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozBlkDropperShnSlTrim,GBBstnBlu2ozBlkDropperShnSlTrim,False,False,3201.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
