SKU_Name,Description
GBBstnAmb2ozMtlRollonMattSl,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonShnSl,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonMattBlk,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozMtlRollonMattGl,"Boston rounddesign60ml,2oz Amber glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb2ozRollonMattSl,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonShnSl,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonMattBlk,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozRollonMattGl,"Boston rounddesign60ml,2oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb2ozWhtDropper,"Boston rounddesign60ml,2oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb2ozBlkDropperShnSlTrim,"Boston rounddesign60ml,2oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
